Name,Theme,Type,Neighborhood,What it is,Why we flagged it,Link,Google Maps,Latitude,Longitude,Pin precision,Day
Edo Taito Traditional Crafts Center,Crafts,See,Asakusa,"Free traditional-crafts center displaying hundreds of examples of Tokyo handicrafts, with regular artisan demonstrations and occasional hands-on programs.","Useful as the overview stop for the entire craft theme, especially if staying in Asakusa. It lets you see dozens of craft traditions before or after doing one yourself, and weekend demonstrations provide a chance to watch working craftspeople rather than only finished objects.",https://craft.city.taito.lg.jp/en/kogeikan/,https://www.google.com/maps/search/?api=1&query=Edo%20Taito%20Traditional%20Crafts%20Center%202-22-13%20Asakusa%20Tokyo,35.7172,139.7945,area,
Texas 3000 at Shibuya CLUB QUATTRO — Oct 17,Rock/live,See,Shibuya,"Texas 3000 with Kaneko Ayano and Qiezi Mabo, live Oct. 17, 2026.",Contemporary Japanese alternative rock with three acts; 13-year-old admission is explicitly permitted with a ticket.,https://www.club-quattro.com/shibuya/,https://www.google.com/maps/search/?api=1&query=Shibuya%20CLUB%20QUATTRO%20Tokyo,35.6609,139.6978,exact,
HERO COMPLEX at Zepp DiverCity — Oct 18,Rock/live,See,Odaiba,"High-energy Japanese melodic punk/rock show on Oct. 18, 2026.","One of the strongest choices for a young rock drummer: fast, energetic punk with prominent live drums.",https://www.zepp.co.jp/hall/divercity/,https://www.google.com/maps/search/?api=1&query=Zepp%20DiverCity%20Tokyo,35.6246,139.7756,exact,
Harukamirai at Shimokitazawa SHELTER — Oct 20,Rock/live,See,Shimokitazawa,"Harukamirai playing a small live-house rock show on Oct. 20, 2026.",Probably the most authentic small Tokyo rock-club experience of the options: energetic Japanese punk/rock in the legendary tiny SHELTER.,https://www.loft-prj.co.jp/SHELTER/,https://www.google.com/maps/search/?api=1&query=Shimokitazawa%20SHELTER%20Tokyo,35.6602,139.6682,exact,
TAMTAM at Moon Romantic — Oct 21,Rock/live,See,Aoyama,"TAMTAM with Takoashi Earphones and Tokyo Shiokoji on Oct. 21, 2026.","A more experimental and groove-oriented alternative to straight rock, with particularly interesting percussion and rhythm.",https://www.moonromantic.com/,https://www.google.com/maps/search/?api=1&query=Moon%20Romantic%20Aoyama%20Tokyo,35.6655,139.7126,exact,
Doona + SATOH at Shibuya eggman — Oct 23,Rock/live,See,Shibuya,"Young Tokyo rock band Doona with SATOH, live Oct. 23, 2026.",A contemporary small-club Tokyo rock experience rather than an established legacy act.,https://eggman.jp/,https://www.google.com/maps/search/?api=1&query=Shibuya%20eggman%20Tokyo,35.6624,139.6972,exact,
THE SIXTH LIE at Harajuku RUIDO — Oct 23,Rock/live,See,Harajuku,"THE SIXTH LIE live at Harajuku RUIDO on Oct. 23, 2026.","Electronic/cinematic Japanese rock in a small venue; the event explicitly permits school-age children, so a 13-year-old can attend.",https://ruido.org/harajuku/,https://www.google.com/maps/search/?api=1&query=Harajuku%20RUIDO%20Tokyo,35.6696,139.7058,exact,
Yanaka Ginza,Capybara,See,Yanaka,"Traditional shopping street famous for its resident cats, cat-themed shops, and old-Tokyo atmosphere.","The cat neighborhood — stray cats lounging on rooftops, cat sculptures, cat-shaped snacks. Pairs perfectly with nearby Nezu Shrine for a quiet Yanaka half-day.",,https://www.google.com/maps/search/?api=1&query=Yanaka%20Ginza%20Tokyo,35.7267,139.7628,exact,
Tokyo Metropolitan Government Building,View,See,Shinjuku,"Free observation decks at 202m in Tange's iconic twin towers, with panoramic views of Tokyo and Mt. Fuji on clear days.","The free alternative to paid observation decks — same height as Shibuya Sky, zero cost. Best at sunset or after dark. October has good Fuji visibility odds.",https://www.yokoso.metro.tokyo.lg.jp/,https://www.google.com/maps/search/?api=1&query=Tokyo%20Metropolitan%20Government%20Building%20Shinjuku,35.6896,139.6917,exact,
Momotaro Jeans Aoyama,Menswear,Shop,Aoyama,"Flagship store for Momotaro's premium Japanese selvedge denim, known for the peach logo and Zimbabwe cotton.","The flagship experience for one of Japan's top denim brands — proper fitting, full range of cuts, and staff who know raw denim. The pink inseam stitching is iconic.",https://momotarojeans.net/,https://www.google.com/maps/search/?api=1&query=Momotaro%20Jeans%20Aoyama%20Tokyo,35.6647,139.7128,exact,
Pure Blue Japan Harajuku,Menswear,Shop,Harajuku,"Cult Japanese denim brand specializing in slubby, textured selvedge with dramatic fading potential.","PBJ's signature XX fabric is some of the most interesting denim made anywhere — heavy slub, electric blue weft, and fades that look hand-painted after a year of wear.",https://purebluejapan.jp/,https://www.google.com/maps/search/?api=1&query=Pure%20Blue%20Japan%20Harajuku%20Tokyo,35.6702,139.7054,area,
Kapital Ebisu,Menswear,Shop,Ebisu,"Multi-floor flagship for Kapital's patchwork denim, boro-inspired pieces, and Americana-meets-Japan aesthetic.","Not just jeans — Kapital is a whole world of sashiko stitching, century denim, and pieces that look like they survived a hundred years of wear. The Ebisu store is the full experience.",https://www.kapital.jp/,https://www.google.com/maps/search/?api=1&query=Kapital%20Ebisu%20Tokyo,35.6465,139.7139,exact,
Azabudai Hills Sky Lobby,View,See,Azabudai,"Free 34th-floor Sky Lobby in Tokyo's newest skyscraper (2023), with floor-to-ceiling windows and Tokyo Tower views.","Brand new, free, and uncrowded compared to the big-name observation decks. The Tokyo Tower framing is particularly good — it's right there at eye level. Pairs with the teamLab Borderless that moved here.",https://www.azabudai-hills.com/,https://www.google.com/maps/search/?api=1&query=Azabudai%20Hills%20Mori%20JP%20Tower%20Tokyo,35.6594,139.7387,exact,
cafe capyba ASAKUSA,Capybara,Animals,Asakusa,"Dedicated capybara cafe where you can sit with, pet, photograph, and feed capybaras.","One of the easiest dedicated capybara experiences to combine with an Asakusa day, with unusually close interaction.",https://cspace.co.jp/,https://www.google.com/maps/search/?api=1&query=cafe%20capyba%20ASAKUSA%20Taito%20Tokyo,35.7187,139.7918,area,
Capyneko Cafe Harajuku,Capybara,Animals,Harajuku,Animal cafe where capybaras and cats live and interact together.,The unusual combination of capybaras and cats makes this substantially different from either a normal cat cafe or capybara cafe.,https://capyneko.cafe/,https://www.google.com/maps/search/?api=1&query=Capyneko%20Cafe%20Harajuku%20Jingumae%20Tokyo,35.6712,139.7046,area,
Capyneko Cafe Kichijoji,Capybara,Animals,Kichijoji,"The original Capyneko location, combining free-roaming cats with a capybara in the same space.",A particularly unusual animal interaction and an easy addition to a Kichijoji and Inokashira Park day.,https://capyneko.cafe/,https://www.google.com/maps/search/?api=1&query=Capyneko%20Cafe%20Kichijoji%20Tokyo,35.7029,139.5796,area,
CAPPINESS Oshiage,Capybara,Animals,Oshiage,"Reservation-only capybara interaction space with three capybaras, feeding, photos, and an indoor capybara bath.","Close to Tokyo Skytree and Asakusa and designed specifically around extended, small-group capybara interaction.",https://cappiness.jp/capybara_cafe/cappiness_oshiage,https://www.google.com/maps/search/?api=1&query=CAPPINESS%20Oshiage%20Tokyo,35.7138,139.8123,area,
capybaraonsen moffu tokyo,Capybara,Animals,Harajuku,"Compact Harajuku capybara cafe where visitors can pet, feed, and photograph capybaras at very close range.",Extremely convenient if already exploring Takeshita Street and centered almost entirely on direct capybara interaction.,,https://www.google.com/maps/search/?api=1&query=capybaraonsen%20moffu%20tokyo%20Harajuku,35.6711,139.7047,area,
Fennec House Harajuku,Animals,Animals,Harajuku,Small interaction space devoted specifically to fennec foxes.,"Fennecs are far less commonly encountered than the cats, dogs, pigs, and hedgehogs found at most Tokyo animal cafes.",https://fennechouse.com/,https://www.google.com/maps/search/?api=1&query=Fennec%20House%20Harajuku%20Tokyo,35.6715,139.7058,area,
mipig cafe Harajuku,Animals,Animals,Harajuku,Indoor cafe built around spending time with free-roaming micro pigs.,The pigs actively interact with visitors and the experience is more hands-on than simply viewing animals.,https://mipig.cafe/,https://www.google.com/maps/search/?api=1&query=mipig%20cafe%20Harajuku%20Tokyo,35.6708,139.7044,area,
Chiku Chiku Cafe,Animals,Animals,Shibuya,Hedgehog cafe where individual hedgehogs occupy miniature dollhouse-like environments and can be handled.,The miniature-room setup makes it considerably more visually distinctive than a standard small-animal cafe.,https://hedgehoghome.cafe/,https://www.google.com/maps/search/?api=1&query=Chiku%20Chiku%20Cafe%20Shibuya%20Tokyo,35.6606,139.7057,area,
Yadorigi Cafe & Restaurant,Animals,Animals,Yanaka,Cat cafe and restaurant centered around rescue cats rather than the usual purpose-bred cat-cafe format.,Combines an actual cafe and meal experience with cats and fits naturally into a walk through Yanaka.,https://www.yadorigicafe.com/,https://www.google.com/maps/search/?api=1&query=Yadorigi%20Cafe%20Yanaka%20Tokyo,35.7278,139.7669,area,
pignic cafe Kichijoji,Animals,Animals,Kichijoji,"Private-room micro-pig cafe beside Inokashira Park, with some sessions offering walks with a pig in the park.",The private rooms and seasonal pig-walking experience make it much more unusual than a standard micro-pig cafe.,https://cafe.pignic.jp/en/shop/kichijoji,https://www.google.com/maps/search/?api=1&query=pignic%20cafe%20Kichijoji%20Tokyo,35.7008,139.5787,area,
Samoyed Cafe moffu Harajuku,Animals,Animals,Harajuku,"Dog cafe devoted specifically to large, fluffy Samoyeds.",A room full of Samoyeds is a much more specific and memorable experience than a conventional dog cafe.,,https://www.google.com/maps/search/?api=1&query=Samoyed%20Cafe%20moffu%20Harajuku%20Tokyo,35.6711,139.7047,area,
Torinoirukafe Yanaka Honten,Animals,Animals,Yanaka,"Bird cafe specializing in owls and other birds, with close-up viewing and interaction.",A useful contrast to mammal cafes and particularly convenient when exploring Yanaka and the Ueno side of Tokyo.,,https://www.google.com/maps/search/?api=1&query=Torinoirukafe%20Yanaka%20Honten%20Tokyo,35.7278,139.7669,area,
Harajuku Kawaii Zoo Land,Animals,Animals,Harajuku,"Mixed-animal interaction venue featuring a changing collection that can include capybaras, meerkats, fennecs, ferrets, hedgehogs, and other small animals.",One stop provides access to several unusual species instead of specializing in only one animal.,,https://www.google.com/maps/search/?api=1&query=Harajuku%20Kawaii%20Zoo%20Land%20Tokyo,35.6714,139.7048,area,
